URI,Label,Project,Project URI,Item Category,Last Updated,Authorship,Latitude (WGS-84),Longitude (WGS-84),Geospatial note,Early Date (BCE/CE),Late Date (BCE/CE),Context URI,Context (1),Context (2),Context (3),Context (4),Context (5),Context (6),Has anatomical identification [URI],Has anatomical identification [Label],Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has physiological sex determination [URI],Has physiological sex determination [Label],Bone Preservation,Bone Box #,Skeletal Area,Bone Catalogue #,Cut/Gnaw Marks?,Common Name,Side,NISP,Part,Element,Date,Distal Fused?,Bucket #,Articulates/Pair with?,Taxon,Principle Author / Analyst,Comments,Proximal Fused?,Notes on Tag,Level,NISP (Number of Identified Specimens),Bp,% Preserved,Locus notes,Age 1,Locus notes 2,GL,Age 2,SD,DD,Bd,Burnt?,Dlv/Blc/Dlt*,Sex,length of spur,link,Pathology?,Sequence #,Field Catalogue #,Bone Preservation 2,DC,Dp,Sequence # 2,Dmv/Bmc/Dmt*,Bp (unfused),GL (prox unfused),Glpe,BFp,GL (approx.),BG,LG,GLP,Hn,SLC,Bd(u),Bd (unfused),BPC,LO (unfused),DPA,SDO,LO,GL (unfused),Bp(u),GL(approx),Bt,Hd,BFd,GB,GH
http://opencontext.org/subjects/8D92AAE6-7699-49D1-8F0D-B0EE523BD753,Bone GT-1536,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002414,lumbar vertebra,http://eol.org/pages/1642,Mammalia,,,3.0,Box 4,back,B110,"split down center, sagitally",med-lg mammal,,1.0,right half,vertebra/lumbar,2002-07-30 00:00:00,NO,NA,,med-lg mammal,Sarah W. Kansa,,NO,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/E8A64F69-F23B-45CA-E10F-E0705582DB82,Bone GT-1537,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002414,lumbar vertebra,http://eol.org/pages/1642,Mammalia,,,4.0,Box 4,back,B110,,med-lg mammal,,1.0,nc,vertebra/lumbar,2002-07-30 00:00:00,,NA,,med-lg mammal,Sarah W. Kansa,,Yes,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/8EB1AA1A-AE9C-4E8D-735B-D50D63BBB3F7,Bone GT-1538,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002228,rib,http://eol.org/pages/1642,Mammalia,,,2.0,Box 4,back,B110,slice on ventral body,medium-sized mammal,,1.0,prox,Rib,2002-07-30 00:00:00,,NA,,medium-sized mammal,Sarah W. Kansa,,Yes,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/9876D0E9-EE94-47C8-193E-2349C3CA0AAB,Bone GT-1539,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002413,cervical vertebra,http://eol.org/pages/1642,Mammalia,,,4.0,Box 4,back,B110,,medium-sized mammal,,1.0,nc,vertebra/cervical,2002-07-30 00:00:00,NO,NA,,medium-sized mammal,Sarah W. Kansa,,Yes,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/A7A12AE0-2E91-4D10-90B5-8C41EAC6C547,Bone GT-1540,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002413,cervical vertebra,http://eol.org/pages/1642,Mammalia,,,4.0,Box 4,back,B110,,small-medium mammal,,1.0,nc,vertebra/cervical,2002-07-30 00:00:00,NO,NA,,small-medium mammal,Sarah W. Kansa,,Yes,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/BF0BDC52-3264-4F56-B312-44A0BD35D226,Bone GT-1541,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002414,lumbar vertebra,http://eol.org/pages/1642,Mammalia,,,1.0,Box 4,back,B110,,med-lg mammal,,1.0,centrum frag,vertebra/lumbar,2002-07-30 00:00:00,,NA,,med-lg mammal,Sarah W. Kansa,,Yes,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/D553CCB3-0AC5-4ECC-4683-8A659BE94BB5,Bone GT-1542,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002347,thoracic vertebra,http://eol.org/pages/1642,Mammalia,,,1.0,Box 4,back,B110,,medium-sized mammal,,1.0,centrum frag,vertebra/thoracic,2002-07-30 00:00:00,NO,NA,,medium-sized mammal,Sarah W. Kansa,,,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/27A758B4-AC95-465E-50A1-83C4BBC80F35,Bone GT-1543,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002413,cervical vertebra,http://eol.org/pages/1642,Mammalia,,,3.0,Box 4,back,B110,"split down center, sagitally",med-lg mammal,,1.0,right half,vertebra/cervical,2002-07-30 00:00:00,NO,NA,,med-lg mammal,Sarah W. Kansa,,NO,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/B822CA37-8252-443D-363D-0C40D093F4DC,Bone GT-1544,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002228,rib,http://eol.org/pages/1642,Mammalia,,,2.0,Box 4,back,B110,slice on ventral neck,medium-sized mammal,,1.0,prox,Rib,2002-07-30 00:00:00,,NA,,medium-sized mammal,Sarah W. Kansa,,NO,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/97D14E77-7737-4629-C4F1-6832EC7A8F72,Bone GT-1545,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/EC67D1A3-5D5C-44F8-B5F5-486455AF49D9,Jordan,Petra Great Temple,Upper Temenos,Trenches 89 and 94,Locus 28,Seq. 94254,http://purl.obolibrary.org/obo/UBERON_0002413,cervical vertebra,http://eol.org/pages/1642,Mammalia,,,1.0,Box 4,back,B110,,small-medium mammal,,1.0,cranial part of arch,vertebra/cervical,2002-07-30 00:00:00,,NA,,small-medium mammal,Sarah W. Kansa,,,ESL/JIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
