"URI","Label","Project","Project URI","Item Category","Last Updated","Authorship","Latitude (WGS-84)","Longitude (WGS-84)","Geospatial note","Early Date (BCE/CE)","Late Date (BCE/CE)","Context URI","Context (1)","Context (2)","Context (3)","Context (4)","Context (5)","Context (6)","Figure Id","Pottery Form","Group","Catalogue Id","Sub-form","Has note","link","Standard","Principle Author / Analyst","Description"
"http://opencontext.org/subjects/9C0106CA-33D7-4486-B06E-7F1EEEADDDB6","Pottery 171","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","6.0","Cooking Pot","Cooking Pots","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Cooking Pots 1.jpg","Great Temple Pottery Report","Shari L. Saunders","6. Cooking Pot. Diam. 9 cm. Thickness: 2 mm. Light red 2.5YR6/8 ware with quantity of fine lime inclusions, some 1 mm. Gritty surface. Inward sloping, short convex neck. Loop handle. Pink 7.5YR8/4 slip on exterior body and interior rim. Location: UT, Residential Quarter, Trench 94. Cf., Ez Zantur (Stucky et al., 1994, Fig. 16, F and 15, T)."
"http://opencontext.org/subjects/39820DD3-035F-4163-E39F-42C72B99B4FE","Pottery 159","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","2.0","Strainer Jug Mouth","Strainer Jugs","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Strainer Jugs 1.jpg","Great Temple Pottery Report","Shari L. Saunders","2. Strainer Jug Mouth. Diam. 6 cm. Thickness: 2 mm. Light red 10R 6/8 ware with reddish gray 10T 5/1 core. Self-same red 10R 5/6 slip on exterior. Ribbed exterior. Two rough lines of clay on interior: one is a regular circle; the other is somewhat irregular. It appears to be a break with signs of smoothing above. Location: UT, Residential Quarter, Trench 94. Cf., Oboda (Negev 1986, 994), bag-shaped juglet; Tall Faysal (Hendrix 1996, 352), late Roman."
"http://opencontext.org/subjects/C53F25D5-5A56-436D-E792-AC3F28AB06BE","Pottery 157","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","22.0","Small Jar Base","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 3.jpg","Great Temple Pottery Report","Shari L. Saunders","22. Small Jar Base. Diam. 3.8 cm. Thickness: 1.6 mm. String-cut base with exterior surface smoothed. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/F9B65CFB-560B-4C31-ADAB-995142EB3EB6","Pottery 156","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","21.0","Small Jar Base","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 3.jpg","Great Temple Pottery Report","Shari L. Saunders","21. Small Jar Base. Diam. 2.5 cm. Thickness: 1.5 mm. Fine light red 2.5YR 7/8 ware. String-cut base. Band of red 10R 5/8 slip about 3 cm above the base. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/8AA4E9D7-3E05-436A-8E68-951A18A9CDDC","Pottery 155","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","20.0","Small Jar Base","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 3.jpg","Great Temple Pottery Report","Shari L. Saunders","20. Small Jar Base. Diam. 2.4 cm. Thickness: 4 mm. Fine light red 2.5YR 6/8 ware. Very pale brown 10YR 8/3 slip on exterior. Red 2.5YR 5/6 slip on interior. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/43328A35-8466-4645-B026-C895549878CD","Pottery 153","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-22","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","18.0","Small Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 3.jpg","Great Temple Pottery Report","Shari L. Saunders","18. Small Jar. Diam. 6 cm. Thickness: 2-3 mm. Coarse reddish gray 2.5YR 5/ ware. Light reddish brown 2.5YR 6/4 slip on exterior. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/4940B8DB-9D34-42D9-4178-88A20B0BB34A","Pottery 151","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-22","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","16.0","Small Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 3.jpg","Great Temple Pottery Report","Shari L. Saunders","16. Small Jar. Diam. 5.8 cm. Thickness: 1.5-2 mm. Fine light red 2.5YR 6/8 ware with gray core. Everted and thickened rim. Tall neck. Light red 2.5YR 6/6 slipped exterior and interior neck. Impressed dots in chevron pattern on neck. Braided handle. Location: UT, Residential Quarter, Trench 94. Cf., Decoration of chalice in North Ridge Tomb 2 (Bikai 2001, Fig. 7, 6), dated to CE second half of first century."
"http://opencontext.org/subjects/2E2FEEBD-A91E-44BD-8ECB-FAE0A7531E89","Pottery 150","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-22","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","15.0","Small Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 2.jpg","Great Temple Pottery Report","Shari L. Saunders","15. Small Jar. Diam. 5.8 cm. Thickness: 2 mm. Fine light red 2.5YR 6/8 ware with gray core. Everted rim. Short neck. Red 10R 5/8 slipped interior and exterior. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/022820E6-997C-40A0-E025-7AEFA5F17E14","Pottery 149","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","14.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 2.jpg","Great Temple Pottery Report","Shari L. Saunders","14. Small Globular Jar. Diam. 8 cm. Thickness: 2 mm. Fine light red 2.5YR 6/8 ware. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/7B229D10-E48E-48C1-1E9D-5BE997894DDA","Pottery 148","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","13.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 2.jpg","Great Temple Pottery Report","Shari L. Saunders","13. Small Globular Jar. Diam. 8 cm. Thickness: 4 mm. Very pale brown 10YR 8/4 ware. Self-same very pale brown 10YR 8/2 slip on exterior. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/7FDE8170-F1F5-4B6A-DCE4-4B300B163836","Pottery 147","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","12.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 2.jpg","Great Temple Pottery Report","Shari L. Saunders","12. Small Globular Jar. Diam. 6.6 cm.  Height: 7.6 cm. Thickness: 1-4 mm. Light red 2.5YR 7/8 ware. Vertical rim with exterior flange. Light red 2.5YR 6/8 slip on exterior and interior neck extending below carination. Seven rows of rouletted, angled bevels on body. Rounded base decorated with rouletting. Vestiges of loop handle. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/C68A6772-5883-401A-20E5-4E95BEFEBEDA","Pottery 146","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","11.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 2.jpg","Great Temple Pottery Report","Shari L. Saunders","11. Small Globular Jar. Diam. 7 cm. Thickness: 1.5 mm. Light red 2.5YR 6/8 ware. Vertical rim, thickened to the exterior and defined by excised grooves. Light red 10R 6/6 slip on exterior and upper body of interior. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/0E926FA6-3EF7-46B6-F051-AF147B72724F","Pottery 145","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","10.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 2.jpg","Great Temple Pottery Report","Shari L. Saunders","10. Small Globular Jar. Diam. 6 cm. Thickness: 2-3 mm. Fine light red 2.5YR 6/8 ware. Flat loop handle attached with slip and pressure, leaving a thumb print. Second handle postulated. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/7AA6FFCA-C7C7-4664-8114-8E39CDB1E2C7","Pottery 144","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","9.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 2.jpg","Great Temple Pottery Report","Shari L. Saunders","9. Small Globular Jar. Rim Diam. 7.1 cm. Height: 9 cm. Thickness: 2.5 mm. Coarse light red 2.5YR 6/8 ware. Thick very pale brown 10R 8/3 slip over exterior. One-handled. Location: UT, Residential Quarter, Trench 94. Cf., North Ridge Tomb 2 cooking pot (Bikai 2001, Fig. 9, 13), second half of CE first century."
"http://opencontext.org/subjects/D90D9351-5055-4BCE-8C73-5CB6A8B32D4E","Pottery 143","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","8.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 1.jpg","Great Temple Pottery Report","Shari L. Saunders","8. Small Globular Jar. Rim Diam. 7.5 cm. Height: 6.8 cm. Thickness: 2 mm. Light red 2.5YR 6/8 ware. Simple rouletting on exterior lower body. Vertical lines 2 mm long and approximately 2 mm apart. Loop handle ridged; slip attached and thumb pressed. Rim warped at handle. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/944D4AFC-5F25-4045-2D70-AA40D99D451E","Pottery 142","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","7.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 1.jpg","Great Temple Pottery Report","Shari L. Saunders","7. Small Globular Jar. Diam. 10 cm. Thickness: 1 mm. Fine light red 2.5YR 6/8 ware. Light red 10R 6/8 slip on exterior. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/E47158B9-923F-4412-F018-FAE3C3A27D29","Pottery 141","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","6.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 1.jpg","Great Temple Pottery Report","Shari L. Saunders","6. Small Globular Jar. Diam. 6 cm. Thickness: 1 mm. Fine light red 2.5YR 6/8 ware with black core. Everted rim, thickened externally and with excised groove. Self-same light red 2.5YR 6/8 slip on exterior. Location: UT, Residential Quarter, Trench 94."
"http://opencontext.org/subjects/21690B4E-4510-46B0-8D58-1BB1510D76BD","Pottery 140","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Pottery","2014-07-23","Shari L. Saunders","30.328700000000000000000","35.442100000000000000000","Best available location data","-200","360","http://opencontext.org/subjects/67E9844C-2F53-4E71-808E-B4CCDD0AA8F6","Jordan","Petra Great Temple","Upper Temenos","Trench 94","Locus none provided","","5.0","Small Globular Jar","Small Jars","","","This is one of some 300+ representative examples of pottery documented at the Great Temple Excavations","Small Jars 1.jpg","Great Temple Pottery Report","Shari L. Saunders","5. Small Globular Jar. Diam. 6 cm. Thickness: 1 mm. Light red 2.5YR7/6 ware with thick black core. Thick light red 10R 6/6 slip on exterior and sloppily applied over interior. Location: UT, Residential Quarter, Trench 94."
